dbcellid,x,y,z,goog14r0seg1_baseid,google_aggloid,dbcelltype,dbsubcelltype,dbsubcelltype2,dbsubcelltype3,nrvoxels,circulardepth
29133,138076,247312,2432,42335119903,42509747740,OLIGO,0,0,0,65,2808
30430,125440,195309,2432,40747918733,40747918880,OLIGO,0,0,0,65,2443
30503,126396,199080,2432,40835159449,49715164579,OLIGO,0,0,0,65,2471
34950,119201,210612,2432,41257201237,41257201237,OLIGO,0,0,0,65,2572
36983,252012,205603,2432,41057882830,49937727284,OLIGO,0,0,0,65,1954
2847,190440,221997,2432,6074264745,41420030765,PYRAMIDAL,2,0,0,1089,2403
8485,245429,125523,2432,11753922613,47258984002,OLIGO,0,0,0,66,1525
8684,282528,169731,2432,39908842161,48730516549,OLIGO,0,0,0,66,1583
9995,218195,248447,2432,42527006182,42527006653,OLIGO,0,0,0,66,2373
28236,158490,231113,2432,41884474426,41942718013,OLIGO,0,0,0,66,2615
43011,435835,130693,2432,38632949273,38632963540,MG_OPC,0,0,0,66,396
47806,91397,189314,2432,40586649509,49393738289,OLIGO,0,0,0,66,2412
5565,145810,161099,2432,39423926508,39583999516,INTERNEURON,0,0,0,322,2139
8794,303321,184176,2432,4710473618,40375387337,INTERNEURON,0,0,0,322,1521
17499,329430,251469,2432,33243208191,42618041948,PYRAMIDAL,0,0,0,322,1573
23222,406255,207735,2432,32357599921,41121234736,UNKNOWN2,1,0,0,322,876
26304,349667,82277,2432,28279963196,36999739277,INTERNEURON,128,0,0,322,714
1430,172110,212878,2432,4633686899,41113556177,PYRAMIDAL,2,0,0,834,2434
10300,285387,218783,2432,41539335928,50375567543,OLIGO,0,0,0,67,1791
12571,197812,237237,2432,42089601976,42147816461,OLIGO,0,0,0,67,2449
34752,158342,276495,2432,43456651283,43471208276,OLIGO,0,0,0,67,2893
35138,107429,186934,2432,40470688659,49306935378,OLIGO,0,0,0,67,2394
30297,107481,226716,2432,32769843844,41708050642,ASTROCYTE,0,0,0,323,2711
31969,129424,282018,2432,43615801402,52481135202,OLIGO,0,0,0,68,3083
40380,107009,288374,2432,43877102436,43877102438,OLIGO,0,0,0,68,3202
45946,228392,270920,2432,43182458484,52120518499,OLIGO,0,0,0,68,2385
19154,369854,115472,2432,29241366381,38077570566,INTERNEURON,0,0,0,324,767
20542,301872,85641,2432,19500380936,37027188159,ASTROCYTE,0,0,0,324,995
2134,145380,173201,2432,39991570759,40006170785,OLIGO,0,0,0,69,2233
11547,259142,220344,2432,50432920099,50432920365,OLIGO,0,0,0,69,1976
15266,305991,154922,2432,39327400843,48250903242,OLIGO,0,0,0,69,1363
37709,145612,281083,2432,43543541240,43616327574,MG_OPC,0,0,0,69,2993
48902,193108,275267,2432,43297748335,52250350772,OLIGO,0,0,0,69,2656
14158,290885,139022,2432,12396016229,38861015939,ASTROCYTE,0,0,0,325,1368
